timestamp hr
644871348680000000 64
644871350157000000 64
644871351168000000 0
644871352160000000 0
644871353137000000 0
644871354139000000 0
644871355155000000 0
644871356171000000 0
644871357130000000 0
644871358162000000 0
644871359172000000 0
644871360173000000 0
644871361151000000 0
644871362143000000 0
644871363140000000 0
644871364158000000 0
644871365139000000 0
644871366146000000 0
644871367237000000 0
644871368174000000 0
644871369128000000 0
644871370173000000 0
644871371174000000 0
644871372151000000 0
644871373147000000 0
644871374142000000 0
644871375127000000 0
644871376148000000 0
644871377138000000 0
644871378131000000 0
644871379214000000 0
644871380183000000 0
644871381134000000 0
644871382150000000 0
644871383157000000 0
644871384131000000 0
644871385182000000 0
644871386137000000 0
644871387182000000 0
644871388154000000 0
644871389169000000 0
644871390127000000 0
644871391152000000 0
644871392167000000 0
644871393157000000 0
644871394150000000 0
644871395152000000 0
644871396128000000 0
644871397149000000 0
644871398139000000 0
644871399154000000 0
644871400214000000 0
644871401141000000 0
644871402176000000 0
644871403147000000 0
644871404168000000 0
644871405126000000 0
644871406161000000 0
644871407136000000 0
644871408141000000 0
644871409224000000 0
644871410153000000 0
644871411126000000 0
644871412182000000 0
644871413139000000 0
644871414145000000 0
644871415150000000 0
644871416202000000 0
644871417147000000 0
644871418176000000 0
644871419140000000 0
644871420127000000 0
644871421162000000 0
644871422137000000 0
644871423161000000 0
644871424164000000 0
644871425187000000 0
644871426190000000 0
644871427149000000 0
644871428179000000 0
644871429160000000 0
644871430152000000 0
644871431159000000 0
644871432128000000 0
644871433234000000 0
644871434169000000 0
644871435143000000 0
644871436148000000 0
644871437176000000 0
644871438144000000 0
644871439209000000 0
644871440139000000 0
644871441155000000 0
644871442154000000 0
644871443170000000 0
644871444129000000 0
644871445196000000 0
644871446144000000 0
644871447152000000 0
644871448168000000 0
644871449182000000 0
644871450129000000 0
644871451155000000 0
644871452140000000 0
644871453164000000 0
644871454150000000 0
644871455138000000 0
644871456128000000 0
644871457157000000 0
644871458190000000 0
644871459158000000 0
644871460196000000 0
644871461138000000 0
644871462144000000 0
644871463148000000 0
644871464212000000 0
644871465130000000 0
644871466216000000 0
644871467139000000 0
644871468174000000 0
644871469148000000 0
644871470204000000 0
644871471129000000 0
644871472162000000 0
644871473234000000 0
644871474136000000 0
644871475150000000 0
644871476152000000 0
644871477129000000 65
644871478160000000 65
644871479138000000 65
644871480136000000 65
644871481150000000 65
644871482138000000 0
644871483130000000 0
644871484151000000 0
644871485139000000 0
644871486128000000 0
644871487153000000 0
644871488138000000 0
644871489166000000 0
644871490177000000 0
644871491229000000 0
644871492159000000 0
644871493177000000 0
644871494227000000 0
644871495171000000 0
644871496149000000 0
644871497154000000 0
644871498132000000 0
644871499178000000 0
644871500138000000 0
644871501159000000 0
644871502147000000 0
644871503144000000 0
644871504129000000 0
644871505209000000 0
644871506138000000 0
644871507237000000 0
644871508153000000 0
644871509182000000 0
644871510128000000 0
644871511186000000 0
644871512145000000 0
644871513174000000 0
644871514149000000 0
644871515154000000 0
644871516128000000 0
644871517165000000 0
644871518155000000 0
644871519128000000 0
644871520222000000 0
644871521140000000 0
644871522144000000 0
644871523161000000 0
644871524204000000 0
644871525159000000 0
644871526202000000 0
644871527275000000 0
644871528152000000 0
644871529148000000 0
644871530153000000 0
644871531130000000 0
644871532178000000 0
644871533138000000 0
644871534132000000 0
644871535153000000 0
644871536142000000 0
644871537128000000 0
644871538149000000 0
644871539145000000 0
644871540146000000 0
644871541150000000 0
644871542166000000 0
644871543194000000 0
644871544200000000 0
644871545154000000 0
644871546144000000 0
644871547162000000 67
644871548138000000 67
644871549144000000 67
644871550180000000 67
644871551200000000 67
644871552128000000 65
644871553157000000 65
644871554138000000 65
644871555172000000 65
644871556165000000 65
644871557148000000 58
644871558159000000 58
644871559218000000 58
644871560168000000 58
644871561142000000 58
644871562148000000 66
644871563143000000 66
644871564158000000 66
644871565148000000 66
644871566138000000 66
644871567146000000 63
644871568261000000 63
644871569138000000 63
644871570128000000 63
644871571207000000 63
644871572235000000 63
644871573128000000 63
644871574188000000 63
644871575141000000 63
644871576142000000 63
644871577164000000 63
644871578202000000 63
644871579132000000 63
644871580150000000 63
644871581138000000 63
644871582167000000 67
644871583180000000 67
644871584137000000 67
644871585131000000 67
644871586161000000 67
644871587138000000 65
644871588142000000 65
644871589148000000 65
644871590157000000 65
644871591180000000 65
644871592184000000 64
644871593141000000 64
644871594148000000 64
644871595149000000 64
644871596138000000 64
644871597145000000 65
644871598149000000 65
644871599138000000 65
644871600136000000 65
644871601246000000 65
644871602140000000 65
644871603168000000 65
644871604148000000 65
644871605245000000 65
644871606133000000 65
644871607149000000 63
644871608153000000 63
644871609174000000 63
644871610178000000 63
644871611137000000 63
644871612129000000 65
644871613194000000 65
644871614146000000 65
644871615172000000 65
644871616204000000 65
644871617278000000 65
644871618177000000 65
644871619148000000 65
644871620144000000 65
644871621180000000 65
644871622188000000 0
644871623140000000 0
644871624187000000 0
644871625162000000 0
644871626139000000 0
644871627128000000 0
644871628177000000 0
644871629186000000 0
644871630193000000 0
644871631148000000 0
644871632184000000 0
644871633127000000 0
644871634148000000 0
644871635137000000 0
644871636171000000 0
644871637190000000 68
644871638157000000 68
644871639128000000 68
644871640162000000 68
644871641144000000 68
644871642133000000 0
644871643191000000 0
644871644144000000 0
644871645158000000 0
644871646147000000 0
644871647138000000 62
644871648151000000 62
644871649149000000 62
644871650138000000 62
644871651128000000 62
644871652179000000 0
644871653139000000 0
644871654169000000 0
644871655148000000 0
644871656168000000 0
644871657193000000 0
644871658157000000 0
644871659154000000 0
644871660128000000 0
644871661211000000 0
644871662138000000 0
644871663183000000 0
644871664148000000 0
644871665191000000 0
644871666142000000 0
644871667162000000 61
644871668139000000 61
644871669180000000 61
644871670152000000 61
644871671170000000 61
644871672128000000 0
644871673208000000 0
644871674139000000 0
644871675127000000 0
644871676148000000 0
644871677142000000 0
644871678128000000 0
644871679178000000 0
644871680139000000 0
644871681145000000 0
644871682198000000 61
644871683157000000 61
644871684127000000 61
644871685147000000 61
644871686153000000 61
644871687128000000 61
644871688215000000 61
644871689140000000 61
644871690142000000 61
644871691182000000 61
644871692193000000 60
644871693143000000 60
644871694195000000 60
644871695177000000 60
644871696164000000 60
644871697148000000 0
644871698140000000 0
644871699164000000 0
644871700191000000 0
644871701138000000 0
644871702146000000 0
644871703190000000 0
644871704153000000 0
644871705127000000 0
644871706179000000 0
644871707148000000 61
644871708238000000 61
644871709222000000 61
644871710141000000 61
644871711250000000 61
644871712148000000 62
644871713138000000 62
644871714157000000 62
644871715169000000 62
644871716151000000 62
644871717144000000 0
644871718148000000 0
644871719154000000 0
644871720160000000 0
644871721152000000 0
644871722138000000 62
644871723144000000 62
644871724148000000 62
644871725153000000 62
644871726127000000 62
644871727166000000 0
644871728149000000 0
644871729144000000 0
644871730149000000 0
644871731136000000 0
644871732128000000 0
644871733148000000 0
644871734137000000 0
644871735142000000 0
644871736162000000 0
644871737166000000 63
644871738128000000 63
644871739177000000 63
644871740164000000 63
644871741128000000 63
644871742159000000 63
644871743149000000 63
644871744230000000 63
644871745152000000 63
644871746147000000 63
644871747148000000 0
644871748204000000 0
644871749138000000 0
644871750142000000 0
644871751148000000 0
644871752168000000 0
644871753234000000 0
644871754199000000 0
644871755138000000 0
644871756188000000 0
644871757196000000 0
644871758170000000 0
644871759128000000 0
644871760149000000 0
644871761168000000 0
644871762136000000 0
644871763147000000 0
644871764137000000 0
644871765135000000 0
644871766160000000 0
644871767138000000 0
644871768128000000 0
644871769155000000 0
644871770137000000 0
644871771154000000 0
644871772179000000 62
644871773186000000 62
644871774130000000 62
644871775166000000 62
644871776171000000 62
644871777140000000 0
644871778184000000 0
644871779146000000 0
644871780128000000 0
644871781151000000 0
644871782168000000 0
644871783157000000 0
644871784148000000 0
644871785139000000 0
644871786129000000 0
644871787147000000 0
644871788142000000 0
644871789135000000 0
644871790148000000 0
644871791138000000 0
644871792128000000 0
644871793183000000 0
644871794138000000 0
644871795156000000 0
644871796194000000 0
644871797139000000 63
644871798137000000 63
644871799153000000 63
644871800153000000 63
644871801165000000 63
644871802178000000 0
644871803138000000 0
644871804142000000 0
644871805179000000 0
644871806202000000 0
644871807134000000 62
