timestamp ch1 ch2 ch3 ambient
644871351328903912 -456387 -424128 -414343 -544273
644871351336296736 -456282 -424171 -414317 -544359
644871351343689560 -456378 -424132 -414328 -544325
644871351351082384 -456297 -424083 -414310 -544319
644871351358475208 -456380 -424200 -414311 -544285
644871351365868032 -456322 -424143 -414253 -544309
644871351373307282 -456240 -424230 -414291 -544352
644871351380697376 -456333 -424153 -414393 -544357
644871351388087470 -456335 -424092 -414336 -544408
644871351395477564 -456210 -424088 -414265 -544303
644871351402867658 -456211 -424068 -414326 -544330
644871351410257752 -456196 -424055 -414274 -544376
644871351417647846 -456149 -424155 -414321 -544298
644871351425037940 -456213 -424000 -414286 -544317
644871351432428034 -456237 -424052 -414244 -544371
644871351439818128 -456198 -424070 -414255 -544286
644871351447208222 -456212 -424058 -414242 -544248
644871351454598316 -456189 -423932 -414215 -544216
644871351461988410 -456148 -423956 -414205 -544166
644871351469378504 -456073 -423895 -414176 -544241
644871351476768598 -456096 -423884 -414231 -544293
644871351484158692 -456032 -423889 -414171 -544241
644871351491548786 -455973 -423864 -414154 -544293
644871351498938880 -456068 -423821 -414114 -544266
644871351506359935 -456001 -423719 -414128 -544135
644871351513748208 -456012 -423772 -414120 -544306
644871351521136481 -456002 -423756 -414132 -544280
644871351528524754 -455945 -423692 -414048 -544235
644871351535913027 -456008 -423702 -413928 -544175
644871351543301300 -455958 -423741 -414032 -544225
644871351550689573 -455913 -423689 -414008 -544277
644871351558077846 -456017 -423684 -413981 -544298
644871351565466119 -455964 -423702 -413978 -544337
644871351572854392 -455917 -423610 -413961 -544308
644871351580242665 -455901 -423593 -413892 -544327
644871351587630938 -455930 -423656 -413936 -544327
644871351595019211 -455962 -423704 -413966 -544308
644871351602407484 -455881 -423741 -413999 -544263
644871351609795757 -455991 -423741 -413958 -544240
644871351617184030 -456058 -423779 -414139 -544246
644871351624572303 -456040 -423769 -414094 -544202
644871351631960576 -456105 -423824 -414249 -544328
644871351639302436 -456261 -423914 -414382 -544180
644871351646693440 -456275 -424058 -414314 -544258
644871351654084444 -456323 -424174 -414441 -544270
644871351661475448 -456434 -424205 -414561 -544306
644871351668866452 -456437 -424227 -414524 -544344
644871351676257456 -456500 -424306 -414563 -544243
644871351683648460 -456585 -424377 -414652 -544319
644871351691039464 -456621 -424464 -414781 -544296
644871351698430468 -456667 -424523 -414833 -544257
644871351705821472 -456723 -424582 -414885 -544310
644871351713212476 -456710 -424674 -415004 -544279
644871351720603480 -456723 -424695 -415008 -544345
644871351727994484 -456829 -424778 -414992 -544336
644871351735385488 -456847 -424765 -415048 -544330
644871351742776492 -456844 -424743 -415076 -544297
644871351750167496 -456803 -424853 -415147 -544291
644871351757558500 -456957 -424849 -415241 -544383
644871351764949504 -457050 -424942 -415193 -544292
644871351772386943 -457018 -425134 -415349 -544218
644871351779775216 -456938 -425088 -415369 -544208
644871351787163489 -456974 -425029 -415274 -544188
644871351794551762 -457052 -424981 -415332 -544211
644871351801940035 -456995 -425038 -415349 -544311
644871351809328308 -457085 -425073 -415415 -544299
644871351816716581 -457085 -425068 -415411 -544320
644871351824104854 -457155 -425179 -415398 -544264
644871351831493127 -457114 -425113 -415387 -544268
644871351838881400 -457132 -425150 -415459 -544253
644871351846269673 -457093 -425099 -415498 -544277
644871351853657946 -457081 -425089 -415495 -544175
644871351861046219 -457094 -425188 -415615 -544202
644871351868434492 -457169 -425176 -415517 -544264
644871351875822765 -457127 -425190 -415637 -544242
644871351883211038 -457109 -425171 -415589 -544255
644871351890599311 -457165 -425166 -415565 -544272
644871351897987584 -457154 -425209 -415618 -544232
644871351905344914 -457275 -425298 -415770 -544442
644871351912735008 -457286 -425303 -415637 -544418
644871351920125102 -457240 -425249 -415645 -544290
644871351927515196 -457267 -425291 -415655 -544252
644871351934905290 -457264 -425322 -415724 -544221
644871351942295384 -457309 -425372 -415744 -544309
644871351949685478 -457373 -425369 -415739 -544183
644871351957075572 -457406 -425392 -415730 -544259
644871351964465666 -457350 -425419 -415848 -544272
644871351971855760 -457366 -425431 -415807 -544340
644871351979245854 -457421 -425488 -415889 -544343
644871351986635948 -457389 -425577 -415886 -544246
644871351994026042 -457438 -425576 -415874 -544256
644871352001416136 -457446 -425515 -415893 -544277
644871352008806230 -457470 -425579 -415870 -544232
644871352016196324 -457445 -425617 -415977 -544332
644871352023586418 -457565 -425656 -416010 -544325
644871352030976512 -457535 -425615 -415940 -544298
644871352038366610 -457495 -425670 -416119 -544341
644871352045756704 -457506 -425636 -416113 -544252
644871352053146798 -457494 -425681 -416062 -544232
644871352060536892 -457424 -425699 -415973 -544225
644871352067926986 -457420 -425690 -416039 -544203
644871352075317080 -457538 -425613 -416084 -544184
644871352082707174 -457480 -425641 -416060 -544183
644871352090097268 -457526 -425686 -416085 -544284
644871352097487362 -457573 -425621 -416055 -544237
644871352104877456 -457513 -425645 -416070 -544208
644871352112267550 -457591 -425693 -416075 -544267
644871352119657644 -457554 -425769 -416076 -544336
644871352127047738 -457497 -425655 -416039 -544318
644871352134437832 -457505 -425654 -416051 -544360
644871352141827926 -457551 -425773 -416109 -544351
644871352149218020 -457512 -425688 -416121 -544272
644871352156608114 -457514 -425657 -416110 -544249
644871352163998208 -457494 -425684 -416100 -544170
644871352171403776 -457437 -425551 -416109 -544194
