ppi ppi_error_estimate hr blocker contact contact_supported
934 8 63 0 1 1
1005 8 65 0 1 1
979 9 65 0 1 1
839 10 65 0 1 1
935 10 65 0 1 1
929 10 65 0 1 1
941 9 65 0 1 1
884 9 65 0 1 1
876 9 65 0 1 1
933 9 65 0 1 1
950 9 65 0 1 1
912 8 65 0 1 1
885 544 0 0 1 1
887 542 0 0 1 1
1130 8 0 0 1 1
1670 18 0 0 1 1
1492 641 0 0 1 1
669 20 0 0 1 1
727 35 0 0 1 1
688 38 0 0 1 1
665 31 0 0 1 1
686 25 0 0 1 1
800 21 0 0 1 1
742 19 0 0 1 1
701 17 0 0 1 1
743 15 0 0 1 1
801 13 0 0 1 1
776 12 0 0 1 1
745 11 0 0 1 1
888 11 0 0 1 1
700 11 68 0 1 1
881 10 68 0 1 1
913 10 68 0 1 1
845 11 68 0 1 1
866 10 68 0 1 1
949 9 0 0 1 1
973 9 0 0 1 1
926 8 0 0 1 1
826 8 0 0 1 1
967 9 0 0 1 1
883 9 0 0 1 1
847 9 62 0 1 1
893 8 62 0 1 1
985 9 62 0 1 1
981 9 62 0 1 1
1007 9 62 0 1 1
874 9 0 0 1 1
937 10 0 0 1 1
1022 10 0 0 1 1
973 10 0 0 1 1
1035 11 0 0 1 1
817 664 0 0 1 1
836 645 0 0 1 1
971 510 0 0 1 1
923 558 0 0 1 1
1336 8 0 0 1 1
563 404 0 0 1 1
1022 11 0 0 1 1
910 19 0 0 1 1
944 20 0 0 1 1
993 16 0 0 1 1
1025 14 0 0 1 1
918 13 61 0 1 1
956 11 61 0 1 1
1322 13 61 0 1 1
699 19 61 0 1 1
925 25 61 0 1 1
997 22 0 0 1 1
908 17 0 0 1 1
757 14 0 0 1 1
1347 19 0 0 1 1
920 25 0 0 1 1
446 609 0 0 1 1
546 423 0 0 1 1
1036 360 0 0 1 1
908 260 0 0 1 1
976 186 0 0 1 1
959 130 0 0 1 1
1002 111 61 0 1 1
1222 79 61 0 1 1
842 60 61 0 1 1
945 48 61 0 1 1
991 38 61 0 1 1
1014 33 61 0 1 1
1005 24 61 0 1 1
938 19 61 0 1 1
918 15 61 0 1 1
1038 13 61 0 1 1
987 12 60 0 1 1
973 10 60 0 1 1
930 9 60 0 1 1
1011 8 60 0 1 1
1004 8 60 0 1 1
1003 8 0 0 1 1
978 7 0 0 1 1
946 7 0 0 1 1
956 7 0 0 1 1
983 7 0 0 1 1
890 7 0 0 1 1
1056 8 0 0 1 1
883 9 0 0 1 1
979 9 0 0 1 1
914 9 0 0 1 1
925 9 0 0 1 1
979 8 61 0 1 1
991 8 61 0 1 1
959 7 61 0 1 1
971 7 61 0 1 1
984 7 61 0 1 1
970 7 62 0 1 1
1016 7 62 0 1 1
947 7 62 0 1 1
959 7 62 0 1 1
967 7 62 0 1 1
1010 7 0 0 1 1
998 7 0 0 1 1
963 7 0 0 1 1
1012 7 0 0 1 1
950 7 0 0 1 1
966 7 62 0 1 1
936 6 62 0 1 1
945 7 62 0 1 1
960 7 62 0 1 1
945 7 62 0 1 1
1012 7 0 0 1 1
995 7 0 0 1 1
1038 7 0 0 1 1
847 8 0 0 1 1
958 9 0 0 1 1
973 9 0 0 1 1
893 550 0 0 1 1
916 527 0 0 1 1
1863 421 0 0 1 1
1027 415 0 0 1 1
914 353 63 0 1 1
986 247 63 0 1 1
958 173 63 0 1 1
941 122 63 0 1 1
958 87 63 0 1 1
935 74 63 0 1 1
1074 55 63 0 1 1
894 42 63 0 1 1
954 33 63 0 1 1
937 26 63 0 1 1
1053 23 0 0 1 1
864 19 0 0 1 1
993 18 0 0 1 1
950 16 0 0 1 1
974 14 0 0 1 1
985 12 0 0 1 1
983 11 0 0 1 1
985 10 0 0 1 1
966 9 0 0 1 1
969 8 0 0 1 1
1076 9 0 0 1 1
1812 14 0 0 1 1
964 515 0 0 1 1
982 497 0 0 1 1
949 530 0 0 1 1
937 448 0 0 1 1
932 309 0 0 1 1
1009 214 0 0 1 1
944 149 0 0 1 1
1010 105 0 0 1 1
910 90 0 0 1 1
974 64 0 0 1 1
986 46 0 0 1 1
959 35 0 0 1 1
962 27 0 0 1 1
978 24 62 0 1 1
937 18 62 0 1 1
1002 14 62 0 1 1
963 12 62 0 1 1
983 10 62 0 1 1
976 9 0 0 1 1
986 9 0 0 1 1
950 9 0 0 1 1
1016 9 0 0 1 1
938 8 0 0 1 1
985 8 0 0 1 1
963 7 0 0 1 1
972 8 0 0 1 1
975 9 0 0 1 1
1000 9 0 0 1 1
970 8 0 0 1 1
975 7 0 0 1 1
970 7 0 0 1 1
954 7 0 0 1 1
961 6 0 0 1 1
964 6 0 0 1 1
971 6 0 0 1 1
969 7 0 0 1 1
865 8 0 0 1 1
986 8 0 0 1 1
963 8 0 0 1 1
967 8 63 0 1 1
1002 7 63 0 1 1
908 7 63 0 1 1
959 7 63 0 1 1
954 7 63 0 1 1
962 7 0 0 1 1
957 7 0 0 1 1
1015 7 0 0 1 1
961 8 0 0 1 1
969 8 0 0 1 1
978 7 62 0 1 1
963 7 62 0 1 1
969 7 62 0 1 1
968 6 62 0 1 1
974 6 62 0 1 1
